,Survived,Sex,Embarked,FamilySize,AgeAndPclass,FareTransformed
0,0,1,2,2,66.0,0.9164539485499251
1,1,0,0,2,38.0,1.8590379714909278
2,1,0,2,1,78.0,0.9506082247842308
3,1,0,2,2,35.0,1.7331972651065695
4,0,1,2,1,105.0,0.9566485792052033
5,0,1,1,1,84.0,0.9758130849255795
6,0,1,2,1,54.0,1.7231476981549567
7,0,1,2,5,6.0,1.3439007122496063
8,1,0,2,3,81.0,1.083978935811046
9,1,0,0,2,28.0,1.492352435460081
10,1,0,2,3,12.0,1.2479732663618066
11,1,0,2,1,58.0,1.440121603187804
12,0,1,2,1,60.0,0.9566485792052033
13,0,1,2,7,117.0,1.5088662509384578
14,0,0,2,1,42.0,0.9471493276626374
15,1,0,2,1,110.0,1.2304489213782739
16,0,1,1,6,6.0,1.4789270555829248
17,1,1,2,1,56.0,1.146128035678238
18,0,0,2,2,93.0,1.2787536009528289
19,1,0,0,1,84.0,0.9151359066220119
20,0,1,2,1,70.0,1.4313637641589874
21,1,1,2,1,68.0,1.146128035678238
22,1,0,1,1,45.0,0.9556492729074468
23,1,1,2,1,28.0,1.5622928644564746
24,0,0,2,5,24.0,1.3439007122496063
25,1,0,2,7,114.0,1.5103774259938814
26,0,1,0,1,84.0,0.9151359066220119
27,0,1,2,6,19.0,2.4216039268698313
28,1,0,1,1,84.0,0.9483738383870792
29,0,1,2,1,84.0,0.9491850103134346
30,0,1,0,1,40.0,1.458196532741108
31,1,0,0,2,28.0,2.1688532588793175
32,1,0,1,1,84.0,0.9420080530223133
33,0,1,2,1,132.0,1.0606978403536116
34,0,1,0,2,28.0,1.9199708788780554
35,0,1,2,2,42.0,1.724275869600789
36,1,1,0,1,84.0,0.9153576174148317
37,0,1,2,1,63.0,0.9566485792052033
38,0,0,2,3,54.0,1.2787536009528289
39,1,0,0,2,42.0,1.0878417322991751
40,0,0,2,2,120.0,1.0201540316383328
41,0,0,2,2,54.0,1.3424226808222062
42,0,1,0,1,84.0,0.9491850103134346
43,1,0,0,4,6.0,1.6291974974299364
44,1,0,1,1,57.0,0.9483738383870792
45,0,1,2,1,84.0,0.9566485792052033
46,0,1,1,2,84.0,1.2174839442139063
47,1,0,1,1,84.0,0.9420080530223133
48,0,1,0,3,84.0,1.3556277309213418
49,0,0,2,2,54.0,1.2741578492636798
50,0,1,2,6,21.0,1.6094610059122672
51,0,1,2,1,63.0,0.9444826721501687
52,1,0,0,2,49.0,1.8905841979078102
53,1,0,2,2,58.0,1.4313637641589874
54,0,1,0,2,65.0,1.7991971396636215
55,1,1,2,1,28.0,1.5622928644564746
56,1,0,2,1,42.0,1.0606978403536116
57,0,1,0,1,85.5,0.9153576174148317
58,1,0,2,4,10.0,1.4586378490256493
59,0,1,2,8,33.0,1.6803355134145632
60,0,1,0,1,66.0,0.9153576174148317
61,1,0,2,1,38.0,1.9084850188786497
62,0,1,2,2,45.0,1.926728200446934
63,0,1,2,6,12.0,1.4608978427565478
64,0,1,0,1,28.0,1.458196532741108
65,1,1,0,3,10.5,1.2107411023865056
